Data for fields of degree 3 of conductor < 10000 with curves having conductor between 11 and 11
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
11a1                 3600                 3600.0000            3600.0000            7699                 3
11a1                 121                  121.0000             3025.0000            7717                 3
11a1                 2025                 2025.0000            2025.0000            7723                 3
11a1                 225                  225.0000             225.0000             7741                 3
11a1                 15625                15625.0000           15625.0000           7753                 3
11a1                 70225                70225.0000           70225.0000           7759                 3
11a1                 5329                 5329.0000            133224.9996          7789                 3
11a1                 24025                24025.0000           24025.0000           7867                 3
11a1                 484                  484.0000             12100.0000           7873                 3
11a1                 5041                 5041.0000            126025.0000          7879                 3
11a1                 676                  676.0000             16899.9999           7927                 3
11a1                 189225               189225.0000          189225.0000          7933                 3
11a1                 121                  121.0000             3025.0000            7951                 3
11a1                 225                  225.0000             225.0000             7963                 3
11a1                 400                  400.0000             400.0000             7993                 3
11a1                 144                  144.0000             3600.0000            8011                 3
11a1                 6400                 6400.0000            6400.0000            8017                 3
11a1                 81                   81.0000              2025.0000            8053                 3
11a1                 25                   25.0000              25.0000              8059                 3
11a1                 841                  841.0000             21025.0000           8089                 3
11a1                 11025                11025.0000           11025.0000           8101                 3
11a1                 28900                28900.0000           28900.0000           8161                 3
11a1                 16                   16.0000              400.0000             8167                 3
11a1                 396900               396900.0000          396900.0000          8179                 3
11a1                 0                    0.0000               0.0000               8191                 3
11a1                 1600                 1600.0000            1600.0000            8209                 3
11a1                 2704                 2704.0000            67600.0000           8221                 3
11a1                 7225                 7225.0000            7225.0000            8233                 3
11a1                 3600                 3600.0000            3600.0000            8263                 3
11a1                 99225                99225.0000           99225.0000           8269                 3
11a1                 1369                 1369.0000            34225.0000           8287                 3
11a1                 21316                21315.9999           532899.9980          8293                 3
11a1                 207025               207025.0000          207025.0000          8311                 3
11a1                 1                    1.0000               25.0000              8317                 3
11a1                 240100               240100.0000          240100.0000          8329                 3
11a1                 225                  225.0000             225.0000             8353                 3
11a1                 1225                 1225.0000            1225.0000            8377                 3
11a1                 144                  144.0000             3600.0000            8389                 3
11a1                 64                   64.0000              1600.0000            8419                 3
11a1                 2025                 2025.0000            2025.0000            8431                 3
11a1                 17161                17160.9999           429024.9980          8443                 3
11a1                 16                   16.0000              400.0000             8461                 3
11a1                 112225               112224.9996          112224.9996          8467                 3
11a1                 3844                 3844.0000            96099.9996           8521                 3
11a1                 1225                 1225.0000            1225.0000            8527                 3
11a1                 855625               855624.9966          855624.9966          8539                 3
11a1                 44100                44100.0000           44100.0000           8563                 3
11a1                 289                  289.0000             7225.0000            8581                 3
11a1                 81225                81225.0000           81225.0000           8599                 3
11a1                 2601                 2601.0000            65025.0000           8623                 3
11a1                 25                   25.0000              625.0000             8629                 3
